distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
UFD,LOURIZAN,66.0,PONTEVEDRA,4,3,1,75.0,27.5,50.0,2025-10-01,2027-01-01,2027-03-31,en 221d,0.72,2022-02-27|2023-03-29|2025-01-27|2025-10-01,,
UFD,SANXENXO,66.0,PONTEVEDRA,4,3,1,75.0,25.8,34.0,2026-02-01,2027-01-01,2027-03-31,en 221d,0.72,2022-02-27|2022-09-28|2025-01-27|2026-02-01,,
Endesa,BADAJOZ,66.0,Badajoz,4,3,4,75.0,21.2,44.4,2026-05-01,2026-10-01,2026-12-31,en 129d,0.72,2021-11-01|2025-10-01|2025-12-01|2026-05-01,,
Endesa,VEGASBAJ,66.0,Badajoz,4,3,4,75.0,19.8,31.3,2026-05-01,2026-10-01,2026-12-31,en 129d,0.72,2021-11-01|2025-10-01|2025-12-01|2026-05-01,,
iDE,VMACHATE T4,20.0,VALENCIA,4,3,4,75.0,18.6,25.4,2026-05-01,2026-10-01,2026-12-31,en 129d,0.72,2024-12-02|2025-10-01|2025-11-01|2026-05-01,,
iDE,CARLET T1,20.0,VALENCIA,4,3,4,75.0,17.2,24.3,2026-03-01,2026-10-01,2026-12-31,en 129d,0.72,2024-12-02|2025-10-01|2025-11-01|2026-03-01,,
Endesa,PALOMARE,66.0,Sevilla,4,3,4,75.0,16.4,25.5,2025-12-01,2026-10-01,2026-12-31,en 129d,0.72,2021-10-01|2022-04-01|2025-10-01|2025-12-01,,
iDE,ARDOZ.N T6,20.0,MADRID,4,3,4,75.0,16.1,27.1,2026-01-01,2026-10-01,2026-12-31,en 129d,0.72,2024-12-02|2025-10-01|2025-11-01|2026-01-01,,
REE,GUIA,66.0,,4,3,1,75.0,13.0,29.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.72,2024-02-01|2024-08-01|2025-03-03|2026-02-20,,
REE,ARGANDA,220.0,,4,3,1,75.0,11.0,12.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.72,2024-01-02|2024-12-02|2025-01-02|2026-02-20,,
iDE,CARLET T2,20.0,VALENCIA,4,3,4,75.0,9.6,13.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.72,2024-12-02|2025-10-01|2025-11-01|2026-03-01,,
