fecha,distribuidora,provincia,subestacion,tension_kv,disponible_neta,prev_disp,delta,mes,trimestre,año
2025-11-01,iDE,MADRID,GALAPAG A1    66.000,66.0,33.27,0.0,33.27,11,4,2025
2026-03-01,iDE,Madrid,GALAPAG A1    66.000,66.0,109.1,33.27,75.82999999999998,3,1,2026
2025-10-01,iDE,MADRID,GALAPAG A2    66.000,66.0,45.27,0.0,45.27,10,4,2025
2025-11-01,iDE,MADRID,GALAPAG A2    66.000,66.0,45.27,0.0,45.27,11,4,2025
2024-07-23,iDE,MADRID,GALAPAGA    132.00,132.0,39.76,1.4,38.36,7,3,2024
2024-09-26,iDE,MADRID,GALAPAGA    132.00,132.0,51.49,19.89,31.6,9,3,2024
2024-10-29,iDE,MADRID,GALAPAGA    132.00,132.0,61.58,51.49,10.089999999999996,10,4,2024
2025-10-01,iDE,MADRID,GALAPAGA    132.00,132.0,10.44,0.0,10.44,10,4,2025
2025-11-01,iDE,MADRID,GALAPAGA    132.00,132.0,24.5,0.0,24.5,11,4,2025
2026-03-01,iDE,Madrid,GALAPAGA    132.00,132.0,54.88,24.52,30.360000000000003,3,1,2026
2026-05-01,iDE,Madrid,GALAPAGA    132.00,132.0,107.24,54.88,52.35999999999999,5,2,2026
2024-07-23,iDE,MADRID,GALAPAGA    66.000,66.0,30.3,0.0,30.3,7,3,2024
2024-09-26,iDE,MADRID,GALAPAGA    66.000,66.0,65.2,20.34,44.86,9,3,2024
2024-12-02,iDE,MADRID,GALAPAGA    66.000,66.0,62.13,45.22,16.910000000000004,12,4,2024
2024-07-23,iDE,MADRID,GALAPAGA T1,20.0,17.45,1.4,16.05,7,3,2024
2024-07-23,iDE,MADRID,GALAPAGA T4,20.0,27.88,1.4,26.48,7,3,2024
2024-09-26,iDE,MADRID,GALAPAGA T4,20.0,27.95,19.89,8.059999999999999,9,3,2024
2025-10-01,iDE,MADRID,GALAPAGA T4,20.0,22.4047,0.0,22.4047,10,4,2025
2025-11-01,iDE,MADRID,GALAPAGA T4,20.0,22.4,0.0,22.4,11,4,2025
2023-12-21,iDE,ÁLAVA,GAMARRA B   30.000,30.0,37.72,27.71,10.009999999999998,12,4,2023
2024-03-22,iDE,ÁLAVA,GAMARRA B   30.000,30.0,50.0,20.38,29.62,3,1,2024
2025-01-30,iDE,ÁLAVA,GAMARRA B   30.000,30.0,36.27,26.28,9.990000000000002,1,1,2025
2025-10-01,iDE,ÁLAVA,GAMARRA B   30.000,30.0,10.62,0.0,10.62,10,4,2025
2025-11-01,iDE,ÁLAVA,GAMARRA B   30.000,30.0,15.57,0.0,15.57,11,4,2025
2024-06-25,iDE,ÁLAVA,GAMARRA2 T1 30.000,30.0,9.2,0.0,9.2,6,2,2024
2024-06-25,iDE,ÁLAVA,GAMARRA2 T1,13.0,9.2,0.0,9.2,6,2,2024
2024-06-25,iDE,ÁLAVA,GAMARRA2 T2 30.000,30.0,8.71,0.0,8.71,6,2,2024
2024-06-25,iDE,ÁLAVA,GAMARRA2 T2,13.0,8.71,0.0,8.71,6,2,2024
2024-02-28,iDE,BURGOS,GAMONAL T1,13.0,5.37,0.0,5.37,2,1,2024
2024-02-28,iDE,BURGOS,GAMONAL T2,13.0,11.9,0.0,11.9,2,1,2024
2024-06-25,iDE,VALENCIA,GANDIA      132.00,132.0,151.84,111.56,40.28,6,2,2024
2024-11-15,iDE,VALENCIA,GANDIA      132.00,132.0,120.94,115.89,5.049999999999997,11,4,2024
2024-12-02,iDE,VALENCIA,GANDIA      132.00,132.0,158.42,120.94,37.47999999999999,12,4,2024
2025-02-26,iDE,VALENCIA,GANDIA      132.00,132.0,158.69,148.15,10.539999999999992,2,1,2025
2025-10-01,iDE,VALENCIA,GANDIA      132.00,132.0,157.63,0.0,157.63,10,4,2025
2025-11-01,iDE,VALENCIA,GANDIA      132.00,132.0,157.69,17.65,140.04,11,4,2025
2025-10-01,iDE,VALENCIA,GANDIA T1,20.0,27.026,0.0,27.026,10,4,2025
2025-11-01,iDE,VALENCIA,GANDIA T1,20.0,30.63,0.0,30.63,11,4,2025
2024-01-31,iDE,VALENCIA,GANDIA T2,20.0,30.0,20.0,10.0,1,1,2024
2024-11-15,iDE,VALENCIA,GANDIA T2,20.0,34.9,29.9,5.0,11,4,2024
2025-10-01,iDE,VALENCIA,GANDIA T2,20.0,25.3916,0.0,25.3916,10,4,2025
2025-11-01,iDE,VALENCIA,GANDIA T2,20.0,25.39,9.63,15.76,11,4,2025
2025-10-01,iDE,VALENCIA,GANDIA T3,20.0,27.9197,0.0,27.9197,10,4,2025
2025-11-01,iDE,VALENCIA,GANDIA T3,20.0,27.92,0.0,27.92,11,4,2025
2026-03-01,iDE,Valencia/València,GANDIA T3,20.0,32.57,27.54,5.030000000000001,3,1,2026
2024-12-02,iDE,MADRID,GANDULLA    66.000,66.0,11.17,0.0,11.17,12,4,2024
2025-11-01,iDE,MADRID,GANDULLA    66.000,66.0,5.58,0.0,5.58,11,4,2025
2024-06-25,iDE,MADRID,GRINON T1,15.0,9.01,0.82,8.19,6,2,2024
2024-04-29,iDE,MADRID,GRINON T1,45.0,9.04,0.0,9.04,4,2,2024
2025-10-03,iDE,MADRID,GRINON T1,45.0,0.0,-8.36,8.36,10,4,2025
2025-11-01,iDE,MADRID,GRINON T2,45.0,8.67,0.0,8.67,11,4,2025
2025-10-03,iDE,PALENCIA,GUARDO T1 45,45.0,9.5,0.0,9.5,10,4,2025
2025-10-03,iDE,PALENCIA,GUARDO T2 45,45.0,9.5,2.4,7.1,10,4,2025
2024-07-23,iDE,LA RIOJA,HARO        66.000,66.0,17.54,0.0,17.54,7,3,2024
2024-10-29,iDE,LA RIOJA,HARO        66.000,66.0,24.99,12.53,12.459999999999999,10,4,2024
2024-12-02,iDE,LA RIOJA,HARO        66.000,66.0,30.84,24.99,5.850000000000001,12,4,2024
2025-10-03,iDE,LA RIOJA,HARO        66.000,66.0,0.0,-9.46,9.46,10,4,2025
2026-01-01,iDE,"Rioja, La",HARO        66.000,66.0,-24.86,-30.14,5.280000000000001,1,1,2026
2026-03-01,iDE,"Rioja, La",HARO        66.000,66.0,-2.15,-24.86,22.71,3,1,2026
2024-04-29,iDE,GUIPÚZCOA,HERNANI1 T1 30.000,30.0,13.21,0.0,13.21,4,2,2024
2026-03-01,iDE,Gipuzkoa,HERNANI1 T1 30.000,30.0,17.3,4.6,12.700000000000001,3,1,2026
2024-04-29,iDE,GUIPÚZCOA,HERNANI1 T1,13.0,13.21,0.0,13.21,4,2,2024
2026-03-01,iDE,Gipuzkoa,HERNANI1 T1,13.2,17.3,4.6,12.700000000000001,3,1,2026
2024-04-29,iDE,GUIPÚZCOA,HERNANI1 T2 30.000,30.0,13.76,0.0,13.76,4,2,2024
2024-04-29,iDE,GUIPÚZCOA,HERNANI1 T2,13.0,13.76,0.0,13.76,4,2,2024
2025-10-03,iDE,MURCIA,HIPICA      132.00,132.0,0.0,-303.17,303.17,10,4,2025
2025-10-03,iDE,MURCIA,HIPICA T3,20.0,0.0,-13.0,13.0,10,4,2025
2025-10-03,iDE,CUENCA,HUELVES    A2 66.000,66.0,0.0,-20.0,20.0,10,4,2025
2026-03-01,iDE,Cuenca,HUELVES    A2 66.000,66.0,0.0,-20.0,20.0,3,1,2026
2025-11-01,iDE,MADRID,HUMANES T2,45.0,14.72,0.0,14.72,11,4,2025
2025-10-03,iDE,ALICANTE,IBI         132.00,132.0,11.04,0.0,11.04,10,4,2025
2025-10-01,iDE,CASTELLÓN,INGENIO T4,20.0,34.5347,0.0,34.5347,10,4,2025
2025-11-01,iDE,CASTELLÓN,INGENIO T4,20.0,34.53,0.0,34.53,11,4,2025
2025-01-30,iDE,CASTELLÓN,INGENIO T5,20.0,29.72,22.16,7.559999999999999,1,1,2025
2025-10-01,iDE,CASTELLÓN,INGENIO T5,20.0,29.7215,0.0,29.7215,10,4,2025
2025-11-01,iDE,CASTELLÓN,INGENIO T5,20.0,29.72,0.0,29.72,11,4,2025
2025-10-03,iDE,GUIPÚZCOA,IRUN T4     30.000,30.0,0.0,-31.2,31.2,10,4,2025
2024-01-31,iDE,GUIPÚZCOA,IRUN T4,13.0,17.5,3.24,14.26,1,1,2024
2024-01-31,iDE,GUIPÚZCOA,IRUN T5,13.0,13.74,3.43,10.31,1,1,2024
2026-03-01,iDE,Navarra,IRURTZUN T1,13.2,5.61,0.0,5.61,3,1,2026
2026-03-01,iDE,Navarra,IRURTZUN T1,66.0,5.61,0.0,5.61,3,1,2026
2026-03-01,iDE,Navarra,IRURTZUN T2,13.2,5.61,0.0,5.61,3,1,2026
2026-03-01,iDE,Navarra,IRURTZUN T2,66.0,5.61,0.0,5.61,3,1,2026
2023-11-30,iDE,GUIPÚZCOA,ITZIAR T1 30.000,30.0,13.87,3.07,10.799999999999999,11,4,2023
2023-12-21,iDE,VIZCAYA,IURRETA T2  30.000,30.0,8.37,3.36,5.01,12,4,2023
2023-12-21,iDE,VIZCAYA,IURRETA T2,13.0,8.37,3.36,5.01,12,4,2023
2025-10-03,iDE,CÁCERES,JARAIZ VERA T1 20,20.0,6.0,0.0,6.0,10,4,2025
2025-10-03,iDE,CÁCERES,JARAIZ VERA T1 45,45.0,6.0,0.0,6.0,10,4,2025
2025-10-03,iDE,CÁCERES,JARAIZ VERA T2 20,20.0,6.0,0.0,6.0,10,4,2025
2025-10-03,iDE,CÁCERES,JARAIZ VERA T2 45,45.0,6.0,0.0,6.0,10,4,2025
2024-12-02,iDE,VALENCIA,JATIVA      66.000,66.0,35.94,0.0,35.94,12,4,2024
2024-12-02,iDE,VALENCIA,JATIVA T1,20.0,13.69,0.0,13.69,12,4,2024
2024-12-02,iDE,VALENCIA,JATIVA T2,20.0,13.73,0.0,13.73,12,4,2024
2024-12-02,iDE,VALENCIA,JATIVA T3,20.0,10.92,0.0,10.92,12,4,2024
2024-06-25,iDE,ALICANTE,JAVEA       132.00,132.0,193.6,185.99,7.609999999999985,6,2,2024
2024-09-26,iDE,ALICANTE,JAVEA       132.00,132.0,194.41,146.02,48.389999999999986,9,3,2024
