fecha,ccaa,provincia,subestacion,tension_kv,lat,lon,disponible,ocupada_total,admitida_total,disponible_neta
2021-07-01,01 - Andalucía,Cádiz,HINOJERA,66,36.64771934,-6.26303267,49.9,0.0,0.0,49.9
2021-07-01,01 - Andalucía,Cádiz,HINOJERA,15,36.64771934,-6.26303267,42.2,0.0,0.0,42.2
2021-07-01,01 - Andalucía,Cádiz,HURONES,66,36.66073762,-5.56166043,7.2,5.3,0.0,7.2
2021-07-01,01 - Andalucía,Cádiz,HURONES,15,36.66073762,-5.56166043,4.0,0.0,0.0,4.0
2021-07-01,01 - Andalucía,Cádiz,ISLAVERD,66,36.12307562,-5.4306427,109.0,0.0,0.0,109.0
2021-07-01,01 - Andalucía,Cádiz,ISLAVERD,15,36.12307562,-5.4306427,46.7,0.0,0.0,46.7
2021-07-01,01 - Andalucía,Cádiz,JEREZFRO,66,36.68550763,-6.12306714,118.0,0.0,0.0,118.0
2021-07-01,01 - Andalucía,Cádiz,JEREZFRO,15,36.68550763,-6.12306714,79.2,0.0,0.0,79.2
2021-07-01,01 - Andalucía,Cádiz,KWTARIFA,66,36.04234049,-5.56315223,0.0,29.7,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,LASMESAS,66,36.25891321,-5.34314276,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,LASMESAS,20,36.25891321,-5.34314276,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,LOSNEGRO,66,36.667779,-6.13334121,60.1,0.0,0.0,60.1
2021-07-01,01 - Andalucía,Cádiz,LOSNEGRO,15,36.667779,-6.13334121,30.0,0.0,0.0,30.0
2021-07-01,01 - Andalucía,Cádiz,MAJADILL,132,36.66526442,-5.99248573,0.0,40.4,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MARQUESA,66,36.48000206,-6.07206702,0.0,24.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MATAGORD,66,36.51530813,-6.23389368,76.6,0.0,0.0,76.6
2021-07-01,01 - Andalucía,Cádiz,MATAGORD,20,36.51530813,-6.23389368,23.9,0.0,0.0,23.9
2021-07-01,01 - Andalucía,Cádiz,MEDINA_S,66,36.46762269,-5.9271652,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MEDINA_S,15,36.46762269,-5.9271652,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MENACHA,66,36.16158588,-5.46712064,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MENACHA,15,36.16158588,-5.46712064,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MERCANCI,66,36.23519219,-5.42924344,0.0,40.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MERCANCI,15,36.23519219,-5.42924344,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Cádiz,MONTEALT,66,36.70731111,-6.13794834,30.0,45.0,0.0,30.0
2021-07-01,01 - Andalucía,Cádiz,MONTEALT,15,36.70731111,-6.13794834,30.6,12.0,0.0,30.6
2021-07-01,01 - Andalucía,Cádiz,MONTECAS,66,36.70949016,-6.03852201,43.6,0.0,0.0,43.6
2021-07-01,01 - Andalucía,Cádiz,MONTECAS,15,36.70949016,-6.03852201,18.3,0.0,0.0,18.3
