distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
REE,VILLAVICIOSA,220.0,,4,5,25.0,2,50.0,74.2,160.0,True,2024-05-16|2024-11-04|2025-02-03|2025-04-01
REE,S.AGUSTIN,220.0,,4,5,25.0,2,50.0,71.0,138.0,True,2024-05-16|2024-11-04|2025-04-01|2026-02-20
iDE,EL GRAO     132.00,132.0,VALENCIA,4,5,25.0,4,50.0,70.7,133.7,True,2024-05-29|2024-12-02|2025-11-01|2026-03-01
REE,SANTA MARIA,66.0,,4,6,25.0,2,50.0,70.2,218.0,True,2024-06-03|2024-10-01|2025-03-03|2025-05-05
REE,MURTERAR,220.0,,4,9,25.0,3,50.0,69.5,108.0,True,2024-09-02|2024-10-01|2025-08-01|2026-02-20
Endesa,ARCOS,66.0,Cádiz,4,11,25.0,1,75.0,66.6,135.9,True,2021-11-01|2022-01-01|2022-02-01|2022-03-01
REE,SAGUNTO,220.0,,4,2,50.0,1,50.0,65.8,135.0,True,2024-11-04|2025-02-03|2025-05-05|2026-02-20
REE,OLITE,220.0,,4,5,25.0,2,50.0,61.8,100.0,True,2025-05-05|2025-06-02|2025-07-01|2025-10-01
REE,SANT ANDREU,220.0,,4,7,25.0,4,50.0,58.8,90.0,True,2024-07-01|2025-02-03|2025-10-01|2025-12-01
Endesa,S.ANDREU,110.0,Barcelona,4,9,25.0,2,50.0,56.7,115.2,True,2021-09-01|2022-04-01|2025-10-01|2026-05-01
UFD,PAZOS DE BORBEN,132.0,PONTEVEDRA,4,2,25.0,4,50.0,54.9,79.8,True,2022-02-27|2022-11-27|2023-06-01|2025-10-01
REE,PERAFORT,220.0,,4,7,25.0,4,50.0,54.0,70.0,True,2024-07-01|2024-11-04|2025-04-01|2025-12-01
REE,MEZQUITA,400.0,,4,8,50.0,3,50.0,53.5,61.0,True,2024-08-01|2024-11-04|2025-08-01|2026-02-20
Endesa,PTO_REAL,66.0,Cádiz,4,2,25.0,1,50.0,53.1,110.1,True,2022-02-01|2022-03-01|2022-04-01|2025-10-01
REE,ANOIA,220.0,,4,8,25.0,3,50.0,50.8,109.0,True,2024-08-01|2024-12-02|2025-06-02|2025-07-01
Endesa,TORRERO,132.0,Zaragoza,4,12,25.0,4,50.0,50.4,101.8,True,2021-12-01|2022-02-01|2022-05-01|2025-10-01
Endesa,REUS,110.0,Tarragona,4,10,25.0,4,50.0,49.8,89.9,True,2021-10-01|2022-04-01|2025-12-01|2026-03-01
Endesa,REUS,25.0,Tarragona,4,10,25.0,4,50.0,49.8,89.9,True,2021-10-01|2022-04-01|2025-12-01|2026-03-01
Endesa,RAMOS,66.0,Málaga,4,10,50.0,4,75.0,47.8,157.5,True,2021-10-01|2022-04-01|2025-10-01|2025-12-01
iDE,VINALESA    66.000,66.0,VALENCIA,4,11,50.0,4,75.0,47.1,86.0,True,2024-11-15|2025-10-01|2025-11-01|2026-01-01
Endesa,ROCA,132.0,Barcelona,4,4,25.0,2,50.0,46.0,146.8,True,2022-04-01|2025-12-01|2026-03-01|2026-05-01
Endesa,S_ELVIRA,15.0,Sevilla,4,10,50.0,4,75.0,43.4,112.7,True,2021-08-01|2021-10-01|2021-12-01|2025-10-01
UFD,VALDEPEÑAS,45.0,CIUDAD REAL,4,1,25.0,1,50.0,43.1,109.5,True,2025-01-27|2025-12-01|2026-02-01|2026-05-01
Endesa,ALIJAR,66.0,Cádiz,4,11,25.0,1,50.0,35.1,79.3,True,2021-11-01|2022-01-01|2022-02-01|2022-04-01
